account,nonce,index,credential_creation_date,credential_valid_to_date,credential_count,total_balance,unlocked_balance,locked_balance,baker_id,staked_amount,restake_earnings,pool_status,pool_metadata_url,pool_transaction_commission,pool_finalization_commission,pool_baking_commission,is_suspended,delegation_target,ip_identity_credential_0
2wmFukJAFHhP5oDHLftyqJx3bJL92P2Hv4RFuEEzhUuynTN5LN,2,27950,2021-12-01,2026-12-01,1,42.0,42.0,0.0,,,,,,,,,,,1
2wmHiAgFMSEaEmDXpEgh8wy65Rxe7jED865UpT883GZCMxcP96,1,48258,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wmPJ2TXEhYaBjkKd3sTKTFAWyuCtvrCrbFhZUrVqUjDqj8fu8,1,36299,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wmRmSJo5rURqfFCbPX2Dq5ALWNJFGi98n2APpcwdbC3zqDRVW,1,34281,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wmaNWmbz2PZQBCvJus9xG16Fg2EMDtGbocMGQEMBLsDzqd9WV,3,55498,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wmd3LaS1qHAoP6BSCC2xYeu3H1LHgxTvmEXxsK9gUETw3gsRZ,1,50096,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wmv9LieVcc2QoKDUHKrpzHwzE4oWjAFvD2A2W4vouwgzCMAas,1,52090,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wmyaDPwVXLhfeMuNUSidkDbihp2LmwUM4osL8ZXbV869f4gHt,1,36825,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wn6RmE9X9b2dpUk7jnNJZxgG1cxJ1hdQdptzTBGE6LZjjmcM4,1,30358,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wn8oBkqQicUMB81yreMUE5Wz6bHW4kbvDgBLQR8eeYB1KZjEW,1,79627,2022-02-01,2027-02-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wn9uPjvkggq3WCMkS5xjMNEMRw3YnMLzhm8eeBF5ue6UM5cMs,1,20665,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wnC5P3APBPZ47Fd5SqZVeqhQRRNhHknt3iPQmfzCKPEPtKmQt,1,14821,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wnR3yRQEy6Pc7Pp5peb1HXU6hso8QGEakGWoo7ymHGwtH4dNB,3,63749,2021-12-01,2026-12-01,1,70.044333,70.044333,0.0,,,,,,,,,,,1
2wnWJ5L3Ce7qZUjhURJ2QyfuKAc43W4WYb637TxufjED43mNBc,1,30530,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wnXeXRAJGJv4z1tT9J2xkXF3WnbrUZEDp5pnHi6TRGSp9dp4i,1,62089,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wnm41iyVYrCBrMTFL7HKEMQo72v3vQkQ29euNcdbQw8gQf4G4,1,36923,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wnmdtuFnMjfdhTikoKiNcba6kbRFXH9S7sVG9ZdMXE5ponbBk,1,40894,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wnt37W5jdbRyGoz963NnzjsBMmqZwPAHKwchLfXvTLpdDaLpe,1,55252,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wo5RjMtafZHcFxzpbt7fPS6UaqwKp1Zzuys9x1M7Ay7yEKBoD,1,37886,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2woK1bSVLB4KBBdt6TvSAXgAHfb7SUWNSRXcLHz2FSRmrGBjJY,1,10168,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2woRw5QaXCqi2esVUwLdfbNSnyFFdMSwtZ7oj8HMfHPiB8sMoE,1,69981,2021-12-01,2026-12-01,1,17.000001,17.000001,0.0,,,,,,,,,,,1
2woWVFyfuNeGU9vW82nyDWfjScST8uytDv5wTMd3nmXqztjYxk,1,27986,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2woXAgLu9ri7ug45tTH8FXTpo2XvKimxYDVbR91NdzvBUK6P3L,1,5591,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2woXBSJrTXkoj3BaUXrcPJv3UhQVEzS4gAR8bt4R5cDN7yahgc,1,8559,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2woYNiJLGyqC353yk1y1KmhU9gsBGzuTXwjAVyDtiCDokNxpb4,1,36654,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wohaPP1N2HoQ4fy2au6JnqsXVUWTbe5jNwVRwQ8PYzK5u1LLT,1,74163,2022-01-01,2027-01-01,1,1e-06,1e-06,0.0,,,,,,,,,,,1
2wopuh881hkTjGvJwZgSDYidTQwSdTPEQJ5TbMf8dqyGxHi52z,3,72581,2022-01-01,2027-01-01,1,3588.927242,3588.927242,0.0,,3578.979262,True,,,,,,,1916,1
2woq8awhzQPq1iXT9Pch468sYFtU4TJ34poyu2Q4LJ9skAwtB6,1,38973,2021-12-01,2026-12-01,1,25538.000001,25538.000001,0.0,,,,,,,,,,,1
2wowe67Fa7K8VRxnomDGNEfGhzG6aWSowZGbTNrKsUWKVkko6T,1,12167,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wp1iwzfk9izQ1Qzc3QyYWtj2DpnLvEe2LL1Xh58qtGgdaEs7k,1,51746,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wp2D7ZfYjSg8MAq37dwDNniDxkRN515QpDihKH2FEeVnhTz8C,2,21419,2021-12-01,2026-12-01,1,70.0,70.0,0.0,,,,,,,,,,,1
2wp6cswWQN1koXWhLvwpZvQwkHfxNS7WqJyF3V7b78oWoAt8Cu,1,75040,2022-01-01,2027-01-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wpCAMbxwx7eWRmFaQsLzgqZZyRtPDRvSjtGgSAfeqftKzvJkG,2,72585,2022-01-01,2027-01-01,1,48.338778,48.338778,0.0,,,,,,,,,,,1
2wpGKgpPf7DuhBwFqjrBFZKvZkfMzo999xbFpE3zjbr4PPriSX,1,55496,2021-12-01,2026-12-01,1,87.000001,87.000001,0.0,,,,,,,,,,,1
2wpJ3uAh2eQvK3MxG4j43oSthePsrxBQkNznjLoVDVjUDd4c3h,3,60657,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wpM5oUggUMZqQc4Kwc8PMko9fWKW7ZjXAHYdXg8xZcp11QEyo,1,21079,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wpMUKknsDGwHj4GR4YAaf9MVktyJdKw4cNxUXNP4aVUPEmmmn,1,42207,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wpPphsRWiKWWQQktY1FVzcCmGqLCKwcuU4QKFFWgneZ3kdNdk,2,64529,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wpeW2do9QYUiSVuL87pSiMc9BL7QCiGiHdh4srznpXvQfSnJX,1,3009,2021-11-01,2026-11-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wpit7wZE6Atw7WTVFW6Uiw5fdTmi5z8Fi496ChNqLB1U1u8Bt,1,40208,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wpk74cQAfDtQc4d64kdZ52tpheobxaVK24oAs5AP1iqXU8DoJ,1,11084,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wpkL3KakK8c8aTDFL7VCZHKbFNPeXykAZ2cPE3AeVyAjpUr4y,2,6891,2021-12-01,2026-12-01,1,70.022167,70.022167,0.0,,,,,,,,,,,1
2wpohxKT3kssw4HT6NHE27LDWd3pojmeh1hwyHURGk5YJN2Nfi,8,858,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wpwhXJ1kGzhGFV2zSqvwEG2w5o8bAuncoDXCFXQYoTXYZrTL2,1,33838,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wqD4zmA2B5hMtwBq9WahwXG22JR8ZdgJxXBRTEyiDKBVbkb6T,1,81115,2022-02-01,2027-02-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wqRTLenw5dq21SDxyd2zyFaQBYdp39fURnBUnrmFozAcKeSbg,1,63856,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wqT84AQHWqAcZXesP2SLaDaWKE882xZ5o4htyEKYfztjbaumH,1,81960,2022-02-01,2027-02-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wqTNuDWwv8AEutFQXR7McESNUAkXMFYEWrSe2XHfEVbZFRXAo,1,7640,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wqU9EHnA4p4ajHkXMHkFzNZGf8Y7g6cMzq25iJ2e1NZoNtmvL,1,16981,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wqkJYXKKJxHWGYSWRMowsMDXs4mPt7ioQhDk7FAgjwThYLsoU,1,85409,2022-09-01,2027-09-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wqucDdEdTgeijFR3MWTe1EVMTG1bqiskfVU12SxP74J7B7qBk,1,73899,2022-01-01,2027-01-01,1,219.567908,219.567908,0.0,,,,,,,,,,,1
2wqzmxKaPWXp3gLqiAdVtQivYm7x8bj3EVJfVUBmf9nnt7wAq5,2,81442,2022-02-01,2027-02-01,1,118055.692166,118055.692166,0.0,,,,,,,,,,,1
2wrCouHK6RdWZ1CnEnpAsyXypEBFjv2RLYZmcNktuzPufq9WyV,1,28193,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wrEeu63BckP1RJ6m5MFoKyNkZfCeFahYtMqL2q5VdVSUNUbUd,1,72203,2021-12-01,2026-12-01,1,17.000001,17.000001,0.0,,,,,,,,,,,1
2wrGZK5ZXq1qX2YytP5gc4tohHDpDj3Nno8PZNULV7vbgyHmLx,1,2971,2021-11-01,2026-11-01,1,1996.000001,1996.000001,0.0,,,,,,,,,,,1
2wrHiebKLFtmQ54FMdzaeqDPNQk67Tz5TmrFsmZw6314hzULT3,1,12079,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wrXoQ9D7Eu8Wg65nqtrnyC9Dh6Pz5L466JjwrNycPGKVCQRhL,1,32688,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wrbrz4QoZ3aknSJ7xz7SdgipbQ2Sj8eSg1NPE1uaKFAhGjZ1m,1,32985,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wrc7zaoVxWnSAmquh2T8izeZKqBJ9CXCMJB4wv1LFc9QLe6ny,1,41416,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wrch5SS6Xo2QiS2Kgds3VqAUkYMRFNmqHTQ7TVDAcwca5q97C,1,77459,2022-01-01,2027-01-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wrgoRXc3fJveCwerMnNEovM7TSdY3uhiCH2dmjgWp6pHekZ9N,1,21084,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wrqGrNTCdtWRCaE3t7dhVbVS4xx1QFyQii8omtXCBqTpSRvHo,1,41943,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2ws6rNJfqhvpqQZQ11NujtHe37TZt7UdeF8d2EbBBHbXWEa6fQ,1,73850,2022-01-01,2027-01-01,1,1e-06,1e-06,0.0,,,,,,,,,,,1
2wsFf1zg5A1Defj44e8hjMgDnoTBSp3h25TK4JqDYXAkzaDTiZ,1,42094,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wsHRjDab8ZkPxND7GHZydqXsFiAe5FHudh8Afuuy4i2SH5uYu,1,14938,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wsHdVG9JfE9vKf4LGcCnnHjLNgf2iverJTh8zsDbG2ggrzmHW,1,45880,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wsKMukvnBoJxtYLSRP9Y8b7Lu3PSCf6A6R182eMyjs7vNnvE9,1,45137,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wsWLAC2WfkMBSTj8VZhx6azpvPLec4dm1r33RP8UC8reu6Sx5,1,74378,2022-01-01,2027-01-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wsYnHgf1Ah6uF2N9iNbzLkSTdgcazxNf36fBpz2SrDP61z6x8,1,32456,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wsZAk4yWzASTaZn3YHkjN3S4HxgRrn2XaGhHUQquKd3uvUDWH,1,43360,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wsgHnm8moxeBQZ9cLNH6Zm3jpXhngJEaidDbyksRg2H2ocwU8,1,56968,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wsh4rc149odehNKDErnq1vjeZotjj9R7pJeoQUp3pW37k5QUo,2,11293,2021-12-01,2026-12-01,1,70.002167,70.002167,0.0,,,,,,,,,,,1
2wso7vBP2zHWFjbpiKXBBtnwi8mpvJ2MhXrcCGzyYJhR2kvSk9,2,5940,2021-12-01,2026-12-01,1,70.007235,70.007235,0.0,,,,,,,,,,,1
2wsp8BQgzh9PEm7Tzn9ru3BPsbPs9MoyCLc3DLZVS7JKZAvkQk,2,73328,2022-01-01,2027-01-01,1,0.031902,0.031902,0.0,,,,,,,,,,,1
2wsuQwwsPWDMwYi3cLYhMWjvGjxknZXgEhuxciXNEigPfRLDCP,1,67135,2021-12-01,2026-12-01,1,1e-06,1e-06,0.0,,,,,,,,,,,1
2wsuyNShe92SXvEQXjAq4pV2tBVeM3CkTTL1K42QQCj5tJU7r3,1,19683,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wt5dhh16rJPDGFsXbKExfMDBchiG4pvVL7bJcJiDvF6QFddY9,1,15461,2021-12-01,2026-12-01,1,141.000001,141.000001,0.0,,,,,,,,,,,1
2wt9ALtnRnCJc98Ro4UgnGUYXry47Ug7uxyZKaiY6oUroV2RHr,1,53189,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wtEqu86XUn6WA3yNzPbpvVNL8Xi3QtXt7hMNjxCQDBURFEPot,1,24389,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wtHqchFRukDCnJgi7TCh3TqviT3uLgJZhXxC5PUSWhURVUBBG,1,32741,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wtKUqzLSyKwykg5ttsE1uZ9g38mYskoLL5G1Ya6v1ZFeRFxT3,1,575,2021-06-01,2026-06-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wtLJNhmLgq5mm3CdRdxEV2y9JAKcqfXx4ewJmyMJWrfYo9hKD,1,58306,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wtWa3fgKzPQLrymadHRvLwZ3xv9DHvS7eHiNe2vy1RqHe1pgG,1,66341,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wtf7XFFKf4Jc28Zi4d2o6WaT9CiztC7mA99QBWoHoZiD14BTn,1,16050,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wtmArRTLYvMnQFK9awEjCAjbLtzceF5SQ5MnKZp68VBrRKHjP,1,41881,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wtvNRTvwDRhpLfBaVjBvppfqKZbDw96zyj1M1UTvkj8n548QC,1,7126,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wtvPDQyiNCvgnb1x5xFmzS2NQiq24AdcCdXB4tLfyKpzE111d,2,41411,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wu4HEtXrZxvrxQK8q6jb1mLxQ4urn4tgDfjrLmeft9YpZtVSC,2,21705,2021-12-01,2026-12-01,1,70.0,70.0,0.0,,,,,,,,,,,1
2wu82e51oytfwjr6Z45maPcA5reerRytJRLPr4STFWJXxv5z8X,1,20506,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wuBSLJDGyphGXJHk7jZPJWiUH1isps88YktT2bje971N7Xrz4,1,12187,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wuBfKegbBf66sP2U5ia61KSN6qDtvtNQEhVCviA5PjgueCeHk,1,58603,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wuFQpGEdVKXftaW5gq7NDpPf2FgNz2ed2fJdmMbCXLg8WR51J,1,34451,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wuQapxFT1ftSvkUGiADCXM5XCBEPuVdBQD9f3RsF57giV5Kgp,1,30197,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wuTRjZV4MBQY6VPhH74vmryYsu9simNn2ULrUnknb4m3YV2LW,1,35059,2021-12-01,2026-12-01,1,372.660001,372.660001,0.0,,,,,,,,,,,1
2wuUnVSkripA8EdKw6HW7yQbYrHpwtUeheRSpBNZTN6egKBZKF,1,82653,2022-03-01,2027-03-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wuVcYJ4zW79ZMAC4NnZHoT8w4nx2qvLPgqJYwLKGMosVPv5aL,1,72244,2022-01-01,2027-01-01,1,1e-06,1e-06,0.0,,,,,,,,,,,1
2wuZfemAFQ6knz9ijr1KJEVGSMRvbuVDEEJ8pkc2Y3sWRTv4Gh,1,9442,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wupHwzM6dPpk3kefqMSM4yFHjgbytesgkJCngPT3UZFbEKzSK,1,59961,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wuq6RoLZKDyTSME1Ue7CanN4Ms1uqprvscZ56eixyqE8NNUBo,6,64545,2021-12-01,2026-12-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wurHjSJ7Y3ZEqWLryhfwtQrDVKGHwVPZ2p8TC8UXLdJeiqMh9,1,37985,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wuvSP7DxQdWgR8K4UpyvsCCBU5Sj3gYTs339oWUSx6Kisk6AC,2,48021,2021-12-01,2026-12-01,1,14.0,14.0,0.0,,,,,,,,,,,1
2wv44h7uAk5Sgicryd4G9Rzqi69UW2z6htgXUzwhVmjBMDjBFf,1,48018,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wv52NKBWEBQh8wcpuy5ajFa7xpMkiNkUGN1sXCjbeDfR8twKP,2,42499,2021-12-01,2026-12-01,1,70.000167,70.000167,0.0,,,,,,,,,,,1
2wv9zmbv5mnmefHMmb9UKRmU3eSRQcaioupCq7Th3swfDZBxrj,1,79585,2022-02-01,2027-02-01,1,0.0,0.0,0.0,,,,,,,,,,,2
2wvBHURTWpsWxe72webaXPA9xLL2Uq298JsBmWecg3fh3kmm93,1,35977,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wvLUiqg5FeyQQ6YnAHvMHBHZHkxaDcYwsJxAycZdnmsAXyNNS,1,58506,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wvaLz8sLy4sKnd4PAxYivdvj2pzzx8pJbtyTUbhEBNUXaTKXn,1,52471,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wveHMVZZKTPQqGfPFGreMUiZvWXfxt5rKHrAjAzgvCPcLoK83,1,61564,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wverTL1stSp6EadDoAMxAvrHTKjuvsokx29vpx8D4ZjjPG4gh,5,1124,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wvuHJ2RPQrQJQwJtqJ7o82oRNtSevCBCBC91J3ee9ZQ45J4i5,1,10936,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wvvzFiB9YQbBBihDctYZCkG2VEkhmQeZW24rgFwmUq1kPdqJo,1,82957,2022-04-01,2027-04-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wvwQSmVaC7LhGZNmFm9waxg5fxF3GusW9R5f3A8YPGVx9fX2D,1,47503,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wvwYawAsCEbJHB5x6efQQXVY7unBhJZGtsTDNhFMi3dGhpgVC,1,57281,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wwF2SDwXN6SDoML8BLaykrusPEB482bhRreBU134c4Ehu4tKG,1,13530,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wwPihAEofjsgGcbTnScwbMThxuwXvtMCopnLv4qTN6iA9nVh3,1,70871,2021-12-01,2026-12-01,1,1e-06,1e-06,0.0,,,,,,,,,,,1
2wwS97tio55B8DoZbYQukAAK6YMHQyaeq22dmm3QKUMH6n7Mkg,1,37054,2021-12-01,2026-12-01,1,87.000001,87.000001,0.0,,,,,,,,,,,1
2wwVv9fTh22vVYMykSNHLd8jApyCsnc4UNAvXSpbsJGmy1stv4,1,67547,2021-12-01,2026-12-01,1,1e-06,1e-06,0.0,,,,,,,,,,,1
2wwX3Gyac1LB85om8UWjhWfx1PGBj2CfNMHgpaUPR56NLRK4Yb,1,44573,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wwaSqrkZhKmwvoq3Zog3BdEaks4u5yPJoD8csdUthWvCTbChW,1,6771,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wwaewmZaxuVU6y5c6WrT5kJ7RrTbeJD1vPrx74kcnujCzKxk5,1,39823,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wwbLEvAgc3iE4REX8nsH3c9PyG4eG8wiToui4Bc6a7RBA7Dmd,1,34745,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wweeBsQoHfBDPLJAt3fAHVfrBFw9r6WLZmEvqTUdshQcKbRFZ,1,75048,2022-01-01,2027-01-01,1,0.0,0.0,0.0,,,,,,,,,,,2
2wwmHv6weaXxaCsppwxETeYisYMWJtm3mDaVEqab9cwyVN6VFp,1,407,2021-06-01,2026-06-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wwptDfctf2dsLWfLvpJ7VbzG4Ks1RKpqKmhPzzHJQnn34PAWP,2,9261,2021-12-01,2026-12-01,1,70.0,70.0,0.0,,,,,,,,,,,1
2wwvTj6nnHKUkbchRHtfhatXaUGuziJbuvhgcwyXtDLM1PAxRF,1,26239,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wwvvbPjfiUg3hnSm5y9EaH7wUna4ywj7KW2LKQpNsa2GQAgZQ,1,11280,2021-12-01,2026-12-01,1,141.000001,141.000001,0.0,,,,,,,,,,,1
2wx1XTLAU4C6YyCrCuNueU5Rg1WAiMYYTGPL19jrPnNsvmX4YF,1,23890,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wx354v8KNpPAW4DjJnxzW2oPVGN3huZvMBgmQ2yVvxrP64vMf,3,2715,2021-11-01,2026-11-01,1,70.0,70.0,0.0,,,,,,,,,,,1
2wx3Qor8wLiTDoRdmnk2XA7yfDzPeAV69Wbf321bfyDmj7vi23,1,47689,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wxMoepo8Ew7E5UkgAurxiehFv2uoDajEhaiyd1nmjdNkBw4cU,1,96608,2024-02-01,2029-02-01,1,1229284.471556,1229284.471556,0.0,,,,,,,,,,,2
